crime_id;year;month;day;weekday;hour;aisp;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation;victim_id
20211243442;2021;12;4;Sábado;17;2ª AISP – São José dos Pinhais;CAMPO LARGO;BOTIATUVA;Praticar Homicídio Culposo na Direção de Veículo;0;F;PARDA;;15854
20211244041;2021;12;4;Sábado;19;12ª AISP - Foz do Iguaçu;FOZ DO IGUACU;CAMPOS DO IGUACU;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;19;;BRANCA;;20218
20211244041;2021;12;4;Sábado;19;12ª AISP - Foz do Iguaçu;FOZ DO IGUACU;CAMPOS DO IGUACU;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;22;;;;20219
20211244075;2021;12;4;Sábado;20;4ª AISP - Ponta Grossa;IRATI;ALTO DA LAGOA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;PARDA;;5531
20211244489;2021;12;4;Sábado;21;4ª AISP - Ponta Grossa;GUAMIRANGA;RIO BONITO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA;;5534
20211244010;2021;12;4;Sábado;21;20ª AISP – Londrina;IBIPORA;SAN RAFAEL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;23;M;PARDA;;20136
20211247983;2021;12;4;Sábado;22;2ª AISP – São José dos Pinhais;COLOMBO;CANGUIRI;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;M;PARDA;;5551
20211244090;2021;12;4;Sábado;22;4ª AISP - Ponta Grossa;IRATI;CRUZEIRO DO SUL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);52;M;BRANCA;;5532
20211243778;2021;12;4;Sábado;22;21ª AISP - Cornélio Procópio;BANDEIRANTES;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;BRANCA;;5530
20211244388;2021;12;4;Sábado;23;2ª AISP – São José dos Pinhais;ALMIRANTE TAMANDARE;TANGUA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;21;M;BRANCA;;20382
20211244236;2021;12;4;Sábado;23;13ª AISP – Toledo;MARECHAL CANDIDO RONDON;BOTAFOGO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;PARDA;HETEROSSEXUAL;5533
20211244583;2021;12;5;Domingo;5;12ª AISP - Foz do Iguaçu;FOZ DO IGUACU;PORTO MEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);42;M;PARDA;HETEROSSEXUAL;5535
20211245332;2021;12;5;Domingo;10;4ª AISP - Ponta Grossa;PONTA GROSSA;UVARANAS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;;;5536
20211248261;2021;12;5;Domingo;12;22ª AISP - Telêmaco Borba;RESERVA;BAIXA FUNDA;Feminicídio;28;F;BRANCA;;12088
20211248261;2021;12;5;Domingo;12;22ª AISP - Telêmaco Borba;RESERVA;BAIXA FUNDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;F;BRANCA;;5554
20211248261;2021;12;5;Domingo;12;22ª AISP - Telêmaco Borba;RESERVA;BAIXA FUNDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);69;M;BRANCA;;5555
20211245406;2021;12;5;Domingo;13;1ª AISP - Curitiba;CURITIBA;CIDADE INDUSTRIAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;BRANCA;HETEROSSEXUAL;5537
20211247531;2021;12;5;Domingo;16;18ª AISP – Apucarana;FAXINAL;BAIRRO DOS PIMENTAS;Praticar Homicídio Culposo na Direção de Veículo;61;M;BRANCA;;15857
20211248084;2021;12;5;Domingo;16;18ª AISP – Apucarana;LUNARDELLI;NOSSA SENHORA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;PARDA;;5553
20211246195;2021;12;5;Domingo;16;19ª AISP – Rolandia;ARAPONGAS;MONTE CARLO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;PARDA;;5542
