year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2023;10;12;QUINTA;20;ALMIRANTE TAMANDARE;MATO DENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;M;BRANCA
2023;10;16;SEGUNDA;19;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);21;M;BRANCA
2023;10;20;SEXTA;6;ALMIRANTE TAMANDARE;SAO JORGE;Praticar Homicídio Culposo na Direção de Veículo;19;M;BRANCA
2023;10;22;DOMINGO;20;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;PARDA
2023;10;23;SEGUNDA;0;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Praticar Homicídio Culposo na Direção de Veículo;;;
2023;10;24;TERCA;7;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;
2023;10;31;TERCA;3;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;
;;;;;;;;;;
2023;11;6;SEGUNDA;23;ALMIRANTE TAMANDARE;TRANQUEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;;;BRANCA
2023;11;6;SEGUNDA;23;ALMIRANTE TAMANDARE;TRANQUEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;;;BRANCA
2023;11;6;SEGUNDA;23;ALMIRANTE TAMANDARE;TRANQUEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;;M;
2023;11;15;QUARTA;5;ALMIRANTE TAMANDARE;AREIAS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;
2023;11;17;SEXTA;6;ALMIRANTE TAMANDARE;MATO DENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;PARDA
2023;11;17;SEXTA;20;ALMIRANTE TAMANDARE;CAMPO GRANDE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;M;BRANCA
2023;11;27;SEGUNDA;8;ALMIRANTE TAMANDARE;TANGUA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;PARDA
2023;12;1;SEXTA;0;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);20;M;BRANCA
2023;12;1;SEXTA;22;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;PARDA
2023;12;12;TERCA;5;ALMIRANTE TAMANDARE;HUMAITA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;
2023;12;16;SABADO;21;ALMIRANTE TAMANDARE;COLONIA SANTA GABRIELA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;BRANCA
2023;12;16;SABADO;21;ALMIRANTE TAMANDARE;COLONIA SANTA GABRIELA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);50;M;BRANCA
2023;12;20;QUARTA;3;ALMIRANTE TAMANDARE;LAMENHA PEQUENA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);43;M;PARDA
2023;12;31;DOMINGO;10;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);36;M;BRANCA
2022;1;4;TERCA;22;ALMIRANTE TAMANDARE;JARDIM GRECIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);60;M;
2022;1;8;SABADO;22;ALMIRANTE TAMANDARE;CACHOEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;32;M;BRANCA
2022;1;11;TERCA;23;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);21;M;BRANCA
2022;1;14;SEXTA;14;ALMIRANTE TAMANDARE;JARDIM PARAISO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;F;PARDA
2022;1;17;SEGUNDA;23;ALMIRANTE TAMANDARE;MONTE SANTO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;M;BRANCA
2022;1;17;SEGUNDA;23;ALMIRANTE TAMANDARE;MONTE SANTO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);21;M;BRANCA
2022;1;24;SEGUNDA;20;ALMIRANTE TAMANDARE;GRECIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;PARDA
2022;1;31;SEGUNDA;19;ALMIRANTE TAMANDARE;LAMENHA;Praticar Homicídio Culposo na Direção de Veículo;51;F;PARDA
2022;2;4;SEXTA;20;ALMIRANTE TAMANDARE;JARDIM SAO DOMINGOS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;PARDA
2022;2;11;SEXTA;1;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA
2022;2;24;QUINTA;20;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;
2022;3;4;SEXTA;0;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;PARDA
2022;3;4;SEXTA;7;ALMIRANTE TAMANDARE;MARMELEIRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);40;M;BRANCA
2022;3;5;SABADO;5;ALMIRANTE TAMANDARE;MORRO AZUL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;BRANCA
2022;3;14;SEGUNDA;3;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Praticar Homicídio Culposo na Direção de Veículo;44;M;BRANCA
